#-------------
# HGHT   TEMP 
# m      C 
#-------------
 98   12.0
147   14.4
164   16.6
241   17.0
305   16.6
610   14.7
809   13.4
914   12.5
1170   10.2
1219   10.1
1486    9.4
1515    9.4
1524    9.5
1603   10.4
1829    9.2
2134    7.5
2438    5.9
2569    5.2
2743    3.9
3048    1.6
3107    1.2
3411    0.4
3495    1.0
3658   -0.1
4221   -3.7
4267   -3.5
4300   -3.3
4572   -5.1
4854   -6.9
4877   -7.0
5486   -9.6
5653  -10.3
5714  -10.1
5760  -10.3
5791  -10.5
6096  -12.3
6401  -14.1
6704  -15.9
7267  -20.5
7315  -20.9
7450  -22.1
7620  -23.5
7824  -25.1
7978  -25.9
8559  -31.3
8839  -33.6
9024  -35.1
9144  -36.2
9490  -39.5
9721  -41.9
10176  -44.9
10668  -49.0
10710  -49.3
11582  -56.8
12130  -61.5
12255  -62.5
12497  -64.0
12743  -65.5
12802  -64.5
12915  -62.7
13094  -60.5
13746  -60.5
13910  -61.7
14326  -64.7
14737  -67.7
15240  -68.6
15545  -69.1
15850  -69.6
16154  -70.2
16350  -70.5
16764  -73.1
16962  -74.3
17069  -73.9
17374  -72.7
17983  -70.3
18288  -69.1
18450  -68.5
18839  -68.1
